annee,genre,popularite
2006,Latin,1.2
2007,Latin,0.7
2008,Latin,0.5
2009,Latin,0.5
2010,Latin,1.5
2011,Latin,1.2
2012,Latin,0.5
2013,Latin,0.7
2014,Latin,1.6
2015,Latin,0.2
2016,Latin,0.5
1958,Jazz,2.7
1959,Jazz,2.5
1960,Jazz,3.0
1961,Jazz,3.1
1962,Jazz,4.8
1963,Jazz,3.5
1964,Jazz,4.4
1965,Jazz,1.8
1966,Jazz,2.7
1967,Jazz,1.7
1968,Jazz,2.5
1969,Jazz,1.6
1970,Jazz,0.8
1971,Jazz,1.2
1972,Jazz,0.4
1973,Jazz,1.0
1974,Jazz,0.5
1975,Jazz,1.5
1976,Jazz,1.4
1977,Jazz,0.8
1978,Jazz,1.2
1979,Jazz,1.7
1980,Jazz,1.4
1981,Jazz,2.3
1982,Jazz,1.8
1983,Jazz,1.6
1984,Jazz,0.3
1985,Jazz,1.1
1986,Jazz,0.3
1987,Jazz,1.5
1988,Jazz,1.3
1989,Jazz,0.7
1990,Jazz,0.4
1991,Jazz,0.6
1992,Jazz,0.3
1993,Jazz,0.9
1994,Jazz,0.7
1996,Jazz,0.1
1997,Jazz,0.5
1999,Jazz,0.0
2000,Jazz,0.1
1958,House/Electronic/Trance,0.1
1959,House/Electronic/Trance,0.1
1960,House/Electronic/Trance,0.2
1962,House/Electronic/Trance,0.2
1963,House/Electronic/Trance,1.0
1964,House/Electronic/Trance,0.2
1965,House/Electronic/Trance,0.3
1966,House/Electronic/Trance,0.3
1967,House/Electronic/Trance,0.3
1968,House/Electronic/Trance,0.4
1969,House/Electronic/Trance,0.4
1970,House/Electronic/Trance,0.1
1974,House/Electronic/Trance,0.4
1975,House/Electronic/Trance,0.5
1976,House/Electronic/Trance,0.8
1977,House/Electronic/Trance,0.7
1978,House/Electronic/Trance,1.9
1979,House/Electronic/Trance,2.1
1980,House/Electronic/Trance,0.2
1981,House/Electronic/Trance,1.5
1982,House/Electronic/Trance,1.6
1983,House/Electronic/Trance,1.2
1984,House/Electronic/Trance,2.4
1985,House/Electronic/Trance,1.2
1986,House/Electronic/Trance,2.6
1987,House/Electronic/Trance,1.5
1988,House/Electronic/Trance,1.7
1989,House/Electronic/Trance,2.5
1990,House/Electronic/Trance,3.5
1991,House/Electronic/Trance,5.9
1992,House/Electronic/Trance,6.7
1993,House/Electronic/Trance,4.1
1994,House/Electronic/Trance,3.6
1995,House/Electronic/Trance,3.8
1996,House/Electronic/Trance,3.2
1997,House/Electronic/Trance,4.0
1998,House/Electronic/Trance,2.2
1999,House/Electronic/Trance,1.4
2000,House/Electronic/Trance,1.4
2001,House/Electronic/Trance,2.4
2002,House/Electronic/Trance,1.0
2003,House/Electronic/Trance,0.4
2004,House/Electronic/Trance,0.0
2005,House/Electronic/Trance,0.6
2006,House/Electronic/Trance,0.5
2007,House/Electronic/Trance,0.1
2008,House/Electronic/Trance,0.3
2009,House/Electronic/Trance,0.5
2010,House/Electronic/Trance,1.2
2011,House/Electronic/Trance,2.3
2012,House/Electronic/Trance,3.1
2013,House/Electronic/Trance,3.8
2014,House/Electronic/Trance,4.0
2015,House/Electronic/Trance,4.7
2016,House/Electronic/Trance,5.0
1958,Folk,0.6
1959,Folk,1.0
1960,Folk,1.3
1961,Folk,0.5
1962,Folk,2.0
1963,Folk,1.7
1964,Folk,1.0
1965,Folk,2.8
1966,Folk,2.7
1967,Folk,2.4
1968,Folk,3.0
1969,Folk,3.0
1970,Folk,6.2
1971,Folk,9.7
1972,Folk,8.7
1973,Folk,7.9
1974,Folk,8.1
1975,Folk,7.7
1976,Folk,4.8
1977,Folk,6.0
1978,Folk,5.8
1979,Folk,3.8
1980,Folk,5.7
1981,Folk,5.7
1982,Folk,4.1
1983,Folk,2.9
1984,Folk,2.3
1985,Folk,1.8
1986,Folk,1.7
1987,Folk,2.7
1988,Folk,2.3
1989,Folk,2.2
1990,Folk,1.5
1991,Folk,1.2
1992,Folk,2.1
1993,Folk,1.1
1994,Folk,4.4
1995,Folk,3.8
1996,Folk,5.8
1997,Folk,6.3
1998,Folk,3.8
1999,Folk,1.7
2000,Folk,0.2
2001,Folk,0.9
2002,Folk,0.8
2003,Folk,0.9
2004,Folk,0.4
2005,Folk,0.1
2006,Folk,1.1
2007,Folk,1.0
2008,Folk,1.6
2009,Folk,0.0
2010,Folk,0.8
2011,Folk,0.5
2012,Folk,1.9
2013,Folk,2.6
2014,Folk,1.8
2015,Folk,1.4
2016,Folk,0.4
1958,Soul,6.5
1959,Soul,9.2
1960,Soul,11.7
1961,Soul,17.3
1962,Soul,18.5
1963,Soul,23.7
1964,Soul,27.5
1965,Soul,26.3
1966,Soul,25.3
1967,Soul,33.1
1968,Soul,35.7
1969,Soul,33.9
1970,Soul,32.4
1971,Soul,30.7
1972,Soul,31.8
1973,Soul,36.1
1974,Soul,37.1
1975,Soul,32.9
1976,Soul,32.3
1977,Soul,28.8
1978,Soul,27.3
1979,Soul,27.2
1980,Soul,22.6
1981,Soul,19.6
1982,Soul,17.2
1983,Soul,14.4
1984,Soul,20.3
1985,Soul,20.2
1986,Soul,14.8
1987,Soul,11.8
1988,Soul,6.6
1989,Soul,4.1
